objectid,parent id,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
Landplats_001,,Lawrence Witsell Slave Enumeration,St. Bartholomew Parish Taxable Property data,1824,L. Witsell Property Tax,Witsell landowners,Colleton County S.C,32°48'16.2,80°29'30.6,South Carolina Census,,Image: Stillimage,jpeg,eng,Material produced by the United States Census Bureau and is in Public Domain at Familysearch.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1824_L_Witsell_75_enslaved.jpg,/objects/1824_L_Witsell_75_enslaved.jpg,/objects/small/1824_l_witsell_75_enslaved_sm.jpg,/objects/thumbs/1824_l_witsell_75_enslaved_th.jpg,,
Landplats_002,,Robert Mills Map of St. Bartholomew,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",1825,Robert Mills Atlas Map,Planters and land maps,Colleton County S.C,32°48'16.2,80°29'30.6,Library of Congress,http://hdl.loc.gov/loc.gmd/g3913c.cws00136,Image: Stillimage,png,eng,"mateiral reproduced by Library of Congress, Geography and Map Division",http://rightsstatements.org/vocab/NoC-US/1.0/,image,1825_Witsel_plantation_map_.png,/objects/1825_Witsel_plantation_map_.png,/objects/small/1825_witsel_plantation_map__sm.jpg,/objects/thumbs/1825_witsel_plantation_map__th.jpg,,
Landplats_003,,Lawrence Witsell slave enumeration,St.Bartholomew Census,1840,Lawrence  enslaved,Lawrence  enslaved,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolina Census,St. Bartholomew Parish No. 4,Image: Stillimage,jpeg,eng,materials reproduced by ancestry.com,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1840_Witsell_slave__schedule.jpg,/objects/1840_Witsell_slave__schedule.jpg,/objects/small/1840_witsell_slave__schedule_sm.jpg,/objects/thumbs/1840_witsell_slave__schedule_th.jpg,,
Landplats_004,,Lawrence John Witsell Election Polls,St.Bartholomew Parish's Election appointm,1841,John Hill replaces LJ as manager of Jacksonboro and Round O Polls,LJ Witsell Poll Manager,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolina Department of Archives and History,No-1119-01,Image: Stillimage,jpeg,eng,materials produced by South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1841_LJ_Witsell_Petitions__to_change_Election_Managers_at_Jacksonborough_and_Round_O_Polls.jpg,/objects/1841_LJ_Witsell_Petitions__to_change_Election_Managers_at_Jacksonborough_and_Round_O_Polls.jpg,/objects/small/1841_lj_witsell_petitions__to_change_election_managers_at_jacksonborough_and_round_o_polls_sm.jpg,/objects/thumbs/1841_lj_witsell_petitions__to_change_election_managers_at_jacksonborough_and_round_o_polls_th.jpg,,
Landplats_005,,Senate proceeding includiing Dr. Emanuel Witsell Approval for rights to Jacksonboro Ferry for 8 years,South Carolina Census,1850,"Dr. Emmanuel Witsell, Widowed mother Mary and sister Eliza",Census and Property worth,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolina Census,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,pdf,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_Emmanual_Witsell.jpg,/objects/1850_Emmanual_Witsell.jpg,/objects/small/1850_emmanual_witsell_sm.jpg,/objects/thumbs/1850_emmanual_witsell_th.jpg,,
Landplats_006,,Lawrence John Witsell Slave Enumeration,South Carolina Census,1850,LJ Witsell 20 Enslaved,St. Bartholomew Parish Slave Enumeration collected August 14th,Colleton County S.C,32°48'16.2,80°29'30.6,South Carolina Census,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_Emmanuel_Census.jpg,/objects/1850_Emmanuel_Census.jpg,/objects/small/1850_emmanuel_census_sm.jpg,/objects/thumbs/1850_emmanuel_census_th.jpg,,
Landplats_007,,Lawrence John Witsell Slave Enumeration,South Carolina Census,1850,LJ Witsell 10 Enslaved,St. Bartholomew Parish Slave Enumeration collected August 16th,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolina Census,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_LJ_Slave_Schedule_2.jpg,/objects/1850_LJ_Slave_Schedule_2.jpg,/objects/small/1850_lj_slave_schedule_2_sm.jpg,/objects/thumbs/1850_lj_slave_schedule_2_th.jpg,,
Landplats_008,,Dr. Robert Witsells signs petition to South Carolina State Senate to prohibit the sell of Liquor and consumption by persons of color,,1852,Dr. Robert Witsell Signs Petition,St. Bartholomew' Parish's petition to the SC senate,Colleton County S.C,32°48'16.2,80°29'30.6,South Carolina Department of Archives and History,St. Bartholomew Parish's petition to SC Senate,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_LJ_Slave_Schedule_3.jpg,/objects/1850_LJ_Slave_Schedule_3.jpg,/objects/small/1850_lj_slave_schedule_3_sm.jpg,/objects/thumbs/1850_lj_slave_schedule_3_th.jpg,,
Landplats_009,,Dr. Emanuel Witsell Labor Contract with a Freedman,National Archives,1865,Dr. Emanuel Witsell is approved by 35th United States Colored Troop James C Beecher for a labor contract with freedmen,Colleton District labor contract post Civil War,Colleton County S.C,32°45'53.7,80°26'46.9,National Archives,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1852_Robert_Witsell_signs_a_petition_barring_slaves_from__selling_liquour.jpg,/objects/1852_Emmanuel_Witsell_signs_a_petition_barring_slaves_from__selling_liquour.jpg,/objects/small/1852_emmanuel_witsell_signs_a_petition_barring_slaves_from__selling_liquour_sm.jpg,/objects/thumbs/1852_emmanuel_witsell_signs_a_petition_barring_slaves_from__selling_liquour_th.jpg,,
Landplats_010,,Cuffy Witsell Sr. pays propety taxes on 25 acres,South Carolina Department of Archives and History,1869,"Cuffy Witsell Sr. pays property taxes and sign with an X, on 1 horse, 2 cattles and 1 hog. The tax assessor is H.G. Glover","Property Taxes paid on September 22nd  in Round O, SC",Colleton County S.C,32°51'12.9,80°30'48.6,South Carolin Department of Archive and Hsitory,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the National Archives,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1869_Cuffy_Witsell_Property_Tax_1.jpeg,/objects/1869_Cuffy_Witsell_Property_Tax_1.jpeg,/objects/small/1869_cuffy_witsell_property_tax_1_sm.jpg,/objects/thumbs/1869_cuffy_witsell_property_tax_1_th.jpg,,
Landplats_011,,R.W. Magwood and Perkins Plats,South Carolina Department of Archives and History,1900,R.W. Magwood and Perkins Plats,Land plats,Colleton County S.C,32°51'41.5,80°29'12.1,South Carolin Department of Archive and Hsitory,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1900_Plat_includes_R_W_Magwood_and_Perkins.jpg,/objects/1900_Plat_includes_R_W_Magwood_and_Perkins.jpg,/objects/small/1900_plat_includes_r_w_magwood_and_perkins_sm.jpg,/objects/thumbs/1900_plat_includes_r_w_magwood_and_perkins_th.jpg,,
Landplats_012,,Cuffy Witsell 25 Arce Platt,South Carolina Department of Archives and History,1902,Cuffy Witsell Sr. Plat,Land Plats,Colleton County S.C,32°51'31.0,80°30'31.0,South Carolin Department of Archive and Hsitory,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1902_Cuffy_Plat.jpg,/objects/1902_Cuffy_Plat.jpg,/objects/small/1902_cuffy_plat_sm.jpg,/objects/thumbs/1902_cuffy_plat_th.jpg,,
Landplats_013,,Willie Witsell Marries Rosa Blake,South Carolina Department of Archives and History,1913,Willie Witsell and Rosa Blake marriage license,Geneaology,Colleton County S.C,32°51'10.7,80°29'26.3,South Carolin Department of Archive and Hsitory,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1913_Willie__and_Rosa_Marriage.jpg,/objects/1913_Willie__and_Rosa_Marriage.jpg,/objects/small/1913_willie__and_rosa_marriage_sm.jpg,/objects/thumbs/1913_willie__and_rosa_marriage_th.jpg,,
Landplats_014,,Caroline and Rosa Witsell Census,South Carolina Census,1920,Caroline Witsell is widowed,Geneaolgy,Colleton County S.C,32°51'10.8,80°29'26.4,South Carolin Department of Archive and Hsitory,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1920_Caroline_Witsell._Willie_and_Ros_a_Witsell_.jpg,/objects/1920_Caroline_Witsell._Willie_and_Ros_a_Witsell_.jpg,/objects/small/1920_caroline_witsell._willie_and_ros_a_witsell__sm.jpg,/objects/thumbs/1920_caroline_witsell._willie_and_ros_a_witsell__th.jpg,,
Landplats_015,,Nate Witsell buys 1 acre from CJ Perkins ,Colleton County Register of Deeds,1993,Nate Witsell,Land Platts,Colleton County S.C,32°51'10.7,80°29'27.3,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1993_Perkins_Sell_to_Nate_Deed.pdf,/objects/1993_Perkins_Sell_to_Nate_Deed.pdf,/objects/small/1993_perkins_sell_to_nate_deed_sm.jpg,/objects/thumbs/1993_perkins_sell_to_nate_deed_th.jpg,,
Landplats_016,,C.J. Perkins buys 85 acres from Beulah Ackerman for $425,Colleton County Register of Deeds,1942,Perkins buys back some of  Cuffy Jr.'s land on September 19th,Former 100 acres of Cuffy Witsell Jr.,Colleton County S.C,32°51'09.5,80°29'27.3,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,CJ_Perkins_buys_85_acres__rom_Beulah_Ackerman.png,/objects/CJ_Perkins_buys_85_acres__rom_Beulah_Ackerman.png,/objects/small/cj_perkins_buys_85_acres__rom_beulah_ackerman_sm.jpg,/objects/thumbs/cj_perkins_buys_85_acres__rom_beulah_ackerman_th.jpg,,
Landplats_017,,Colleton County Register of Deeds listings of Cuffy purchasing 100 acres in 1872 from JP Gatch as well as other landowning Witsells,Colleton County Register of Deeds,1872,"Cuffy Witsell Sr. buys 100 Acres from JP Gatch, Emanuel Witsell is also listed as selling land to multiple people including AC Shaffer (Union Army Officer) that signs Cuffy Sr.'s freedmen documents in 1868","Multiple land plats, Cuffy Witsell Sr. 100 acres",Colleton County S.C,32°51'15.0,80°29'12.9,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds_Cuffy_Witsell_100_acres_copy.png,/objects/Colleton_Deeds_Cuffy_Witsell_100_acres_copy.png,/objects/small/colleton_deeds_cuffy_witsell_100_acres_copy_sm.jpg,/objects/thumbs/colleton_deeds_cuffy_witsell_100_acres_copy_th.jpg,,
Landplats_018,,Contemporary Record of 15 of Cuffy Witsell Sr.'s 25 acres in Chaplin LLC.,Colleton County Register of Deeds,2025,Former 15 of 25 acres in Dirrect Descendants hands,15 acres plus more in contemporary land plats of former 25 acres with descendants,Colleton County S.C,32°51'31.0,80°30'31.0,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds_Honey_38_acres_1.png,/objects/Colleton_Deeds_Honey_38_acres_1.png,/objects/small/colleton_deeds_honey_38_acres_1_sm.jpg,/objects/thumbs/colleton_deeds_honey_38_acres_1_th.jpg,,
Landplats_019,,Cuffy Witsell Jr.  Sells his 100 acres to his siblings Archie and Jacob Witsell page 1,Colleton County Register of Deeds,1891,Cuffy Witsell Jr. 100 Acres sold to brothers,Land conveyance,Colleton County S.C,32°51'15.0,80°29'12.9,Colleton County Register of Deeds,colleton county,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,compound_object,Cuffy Jr sells 100 acres to his brothers,/objects/Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/small/colleton_deeds__cuffy_to_archie_1_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_1_th.jpg,,
Landplats_020,Landplats_019,Second Page of Land Deed Conveyance from Cuffy Jr. to Archie Witell,Colleton County Register of Deeds,1891,Second Page of Land Deed Conveyance from Cuffy Jr. to Archie Witell,,Colleton County S.C,32°51'15.0,80°29'12.9,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds__Cuffy_to_Archie_2.5_copy.jpeg,/objects/Colleton_Deeds__Cuffy_to_Archie_2.5_copy.jpeg,/objects/small/colleton_deeds__cuffy_to_archie_2.5_copy_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_2.5_copy_th.jpg,,
Landplats_021,Landplats_019,Cuffy Witsell Jr.  Sells his 100 acres to his siblings Archie and Jacob Witsell page 1,Colleton County Register of Deeds,1891,Cuffy Witsell Jr. sells his land to brothers,Cuffy Witsell Jr. sells to brothers Archie and Jacob,,32°51'15.0,80°29'12.9,Colleton County Register of Deeds,"Glover Towhship, Colleton County",Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/small/colleton_deeds__cuffy_to_archie_1_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_1_th.jpg,,
Landplats_022,,Cousin Maude Perkins' Store,Colleton County Register of Deeds,1960,Local Perkins Store,Perkins Land Plat,Colleton County S.C,32°51'26.9,80°29'30.9,Shaneda Destine Private Collection,Shaneda Destine,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Cousin_Maude_Store.jpg,/objects/Cousin_Maude_Store.jpg,/objects/small/cousin_maude_store_sm.jpg,/objects/thumbs/cousin_maude_store_th.jpg,,
Landplats_023,, 1600 Native Map of Cusabo Band of Nations,Wikipedia,1600,Cusabo Land Map,Tribal Territory of Cusabo during seventeenth  century,Colleton County S.C,32°43'10.8,80°21'42.5,Wikipedia,https://en.wikipedia.org/wiki/Cusabo#/media/File:USA_Südosten-Cusabo.png,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Cusaba_land__map.png,/objects/Cusaba_land__map.png,/objects/small/cusaba_land__map_sm.jpg,/objects/thumbs/cusaba_land__map_th.jpg,,
Landplats_024,,Dr. Emanuel Witsell Requesting Rights to Jacksonboro Ferry,South Carolina Department of Archives and History,1844,Dr. Emanuel Witsell's request to own Jacksonboro Ferry,Jacksonboro Ferry,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolina Department of Archives and History,"Colleton County, SC",Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,,compound_object,Dr._Emmanuel_Witsell_requesting_charter_of_the_Jacksonboro_Ferry_to_Thomas_Grant.jpg,,,,,
Landplats_025,Landplats_024,Dr. Emanuel Witsell Requesting Rights to Jacksonboro Ferry,South Carolina Department of Archives and History,1843,Dr. Emanuel Witsell's request to own Jacksonboro Ferry,Jacksonboro Ferry,Colleton County S.C,32°48'31.5,80°29'26.9,South Carolin Department of Archive and Hsitory,South Carolina Senate Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Dr._Emmanuel_Witsell_requesting_charter_of_the_Jacksonboro_Ferry_to_Thomas_Grant.jpg,/objects/Dr._Emmanuel_Witsell_requesting_charter_of_the_Jacksonboro_Ferry_to_Thomas_Grant.jpg,/objects/small/dr._emmanuel_witsell_requesting_charter_of_the_jacksonboro_ferry_to_thomas_grant_sm.jpg,/objects/thumbs/dr._emmanuel_witsell_requesting_charter_of_the_jacksonboro_ferry_to_thomas_grant_th.jpg,,
Landplats_026,Landplats_024,Dr. Emanuel Witsell Census,South Carolina Senate,1844,Dr. Emanuel Witsell and Mary Walkington  is vested with the Jacksonboro ferry at the same toll for 8 years,,Colleton County S.C,32°48'31.5,80°26'46.9,South Carolina Department of Archives and History,No-5900--01,Image: Stillimage,jpeg,eng,materials produced by South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1844_Emmauel_Charters_Ferry.pdf,/objects/1844_Emmauel_Charters_Ferry.pdf,/objects/small/1844_emmauel_charters_ferry_sm.jpg,/objects/thumbs/1844_emmauel_charters_ferry_th.jpg,,
Landplats_028,,Lucius Fishburne's description of Haynes Hall,South Carolona Historical Society,1760,Issac Hayne's Haynes Hall,Haynes Hall Plantation,Colleton County S.C,32.80757568,80.47910188,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_Fishburne_Hayne_Hall_1.jpeg,/objects/SCHS_Lucius_Fishburne_Hayne_Hall_1.jpeg,/objects/small/schs_lucius_fishburne_hayne_hall_1_sm.jpg,/objects/thumbs/schs_lucius_fishburne_hayne_hall_1_th.jpg,,
Landplats_029,,Lucius Fishburne's description of Oakland Plantat,South Carolona Historical Society,1790,Fredrick Witsell was Charles Lowndes (Loundes) Overseer on Oakland,Fredrick Witsell and Charles Lowndes,Colleton County S.C,32°37'56.2,80°37'14.2,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_Fishburne_Oakland.jpg,/objects/SCHS_Lucius_Fishburne_Oakland.jpg,/objects/small/schs_lucius_fishburne_oakland_sm.jpg,/objects/thumbs/schs_lucius_fishburne_oakland_th.jpg,,
