objectid,parent id,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
landplats_011,,R.W. Magwood and Perkins Plats,South Carolina Department of Archives and History,1900,R.W. Magwood and Perkins Plats,Land plats,"Round O,Colleton County,South Carolina",32.861528,-80.486694,South Carolina Department of Archive and History,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1900_Plat_includes_R_W_Magwood_and_Perkins.jpg,/objects/1900_Plat_includes_R_W_Magwood_and_Perkins.jpg,/objects/small/1900_plat_includes_r_w_magwood_and_perkins_sm.jpg,/objects/thumbs/1900_plat_includes_r_w_magwood_and_perkins_th.jpg,,
landplats_012,,Cuffy Witsell 25 Acre Plat,South Carolina Department of Archives and History,1902,Cuffy Witsell Sr. Plat,Land Plats,"Round O,Colleton County,South Carolina",32.858611,-80.508611,South Carolina Department of Archive and History,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1902_Cuffy_Plat.jpg,/objects/1902_Cuffy_Plat.jpg,/objects/small/1902_cuffy_plat_sm.jpg,/objects/thumbs/1902_cuffy_plat_th.jpg,,
landplats_013,,Willie Witsell Marries Rosa Blake,South Carolina Department of Archives and History,1913,Willie Witsell and Rosa Blake marriage license,Genealogy,"Round O,Colleton County,South Carolina",32.852972,-80.490639,South Carolina Department of Archive and History,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1913_Willie__and_Rosa_Marriage.jpg,/objects/1913_Willie__and_Rosa_Marriage.jpg,/objects/small/1913_willie__and_rosa_marriage_sm.jpg,/objects/thumbs/1913_willie__and_rosa_marriage_th.jpg,,
landplats_014,,Caroline and Rosa Witsell Census,United States Census Bureau,1920,Caroline Witsell is widowed,Genealogy,"Round O,Colleton County,South Carolina",32.853,-80.490667,South Carolina Department of Archive and History,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1920_Caroline_Witsell._Willie_and_Ros_a_Witsell_.jpg,/objects/1920_Caroline_Witsell._Willie_and_Ros_a_Witsell_.jpg,/objects/small/1920_caroline_witsell._willie_and_ros_a_witsell__sm.jpg,/objects/thumbs/1920_caroline_witsell._willie_and_ros_a_witsell__th.jpg,,
landplats_015,,Nate Witsell buys 1 acre from CJ Perkins ,Colleton County Register of Deeds,1993,Nate Witsell,Land Platts,"Round O,Colleton County,South Carolina",32.852972,-80.490639,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1993_Perkins_Sell_to_Nate_Deed.pdf,/objects/1993_Perkins_Sell_to_Nate_Deed.pdf,/objects/small/1993_perkins_sell_to_nate_deed_sm.jpg,/objects/thumbs/1993_perkins_sell_to_nate_deed_th.jpg,,
landplats_016,,C.J. Perkins buys 85 acres from Beulah Ackerman for $425,Colleton County Register of Deeds,1942,Perkins buys back some of  Cuffy Jr.'s land on September 19th,Former 100 acres of Cuffy Witsell Jr.,"Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,CJ_Perkins_buys_85_acres__rom_Beulah_Ackerman.png,/objects/CJ_Perkins_buys_85_acres__rom_Beulah_Ackerman.png,/objects/small/cj_perkins_buys_85_acres__rom_beulah_ackerman_sm.jpg,/objects/thumbs/cj_perkins_buys_85_acres__rom_beulah_ackerman_th.jpg,,
landplats_017,,Colleton County Register of Deeds listings of Cuffy purchasing 100 acres in 1872 from JP Gatch as well as other landowning Witsells,Colleton County Register of Deeds,1872,"Cuffy Witsell Sr. buys 100 Acres from JP Gatch, Emanuel Witsell is also listed as selling land to multiple people including AC Shaffer (Union Army Officer) that signs Cuffy Sr.'s freedmen documents in 1868","Multiple land plats, Cuffy Witsell Sr. 100 acres","Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds_Cuffy_Witsell_100_acres_copy.png,/objects/Colleton_Deeds_Cuffy_Witsell_100_acres_copy.png,/objects/small/colleton_deeds_cuffy_witsell_100_acres_copy_sm.jpg,/objects/thumbs/colleton_deeds_cuffy_witsell_100_acres_copy_th.jpg,,
landplats_018,,Contemporary Record of 15 of Cuffy Witsell Sr.'s 25 acres in Chaplin LLC.,Colleton County Register of Deeds,2025,Former 15 of 25 acres in Direct Descendants hands,15 acres plus more in contemporary land plats of former 25 acres with descendants,"Round O,Colleton County,South Carolina",32.858611,-80.508611,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds_Honey_38_acres_1.png,/objects/Colleton_Deeds_Honey_38_acres_1.png,/objects/small/colleton_deeds_honey_38_acres_1_sm.jpg,/objects/thumbs/colleton_deeds_honey_38_acres_1_th.jpg,,
landplats_019,1andplats_019,Cuffy Witsell Jr.  Sells his 100 acres to his siblings Archie and Jacob Witsell page 1,Colleton County Register of Deeds,1891,Cuffy Witsell Jr. 100 Acres sold to brothers,Land conveyance,"Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,colleton county,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,compound_object,Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/small/colleton_deeds__cuffy_to_archie_1_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_1_th.jpg,,
landplats_020,1andplats_019,"Cuffy Jr. sells 100 acres to siblings Archie Witell and Jacob Witsell, Second Page of Land Deed Conveyance ",Colleton County Register of Deeds,1891,Second Page of Land Deed Conveyance from Cuffy Jr. to Archie Witell,,"Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,Colleton County Register of Deeds,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds__Cuffy_to_Archie_2.5_copy.jpeg,/objects/Colleton_Deeds__Cuffy_to_Archie_2.5_copy.jpeg,/objects/small/colleton_deeds__cuffy_to_archie_2.5_copy_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_2.5_copy_th.jpg,,
